Date & Time, Temprature *C, Humidity %
[2021-12-23 02:03:32.962] ,26.3,48
[2021-12-23 02:03:34.992] ,26.3,48
[2021-12-23 02:03:37.022] ,26.3,48
[2021-12-23 02:03:39.047] ,26.3,48
[2021-12-23 02:03:41.078] ,26.3,48
[2021-12-23 02:03:43.105] ,26.3,48
[2021-12-23 02:03:45.132] ,26.4,48
[2021-12-23 02:03:47.160] ,26.3,48
[2021-12-23 02:03:49.184] ,26.3,48
[2021-12-23 02:03:51.215] ,26.4,48
[2021-12-23 02:03:53.242] ,26.4,47
[2021-12-23 02:03:55.264] ,26.4,47
[2021-12-23 02:03:57.299] ,26.3,48
[2021-12-23 02:03:59.323] ,26.3,48
[2021-12-23 02:04:01.354] ,26.4,48
[2021-12-23 02:04:03.378] ,26.4,48
[2021-12-23 02:04:05.409] ,26.3,48
[2021-12-23 02:04:07.432] ,26.4,48
[2021-12-23 02:04:09.457] ,26.3,47
[2021-12-23 02:04:11.489] ,26.3,47
[2021-12-23 02:04:13.519] ,26.4,47
[2021-12-23 02:04:15.552] ,26.4,47
[2021-12-23 02:04:17.574] ,26.4,47
[2021-12-23 02:04:19.605] ,26.3,47
[2021-12-23 02:04:21.634] ,26.4,47
[2021-12-23 02:04:23.657] ,26.4,47
[2021-12-23 02:04:25.689] ,26.4,47
[2021-12-23 02:04:27.713] ,26.4,47
[2021-12-23 02:04:29.744] ,26.4,47
[2021-12-23 02:04:31.768] ,26.4,47
[2021-12-23 02:04:33.799] ,26.3,47
[2021-12-23 02:04:35.822] ,26.4,47
[2021-12-23 02:04:37.853] ,26.4,47
[2021-12-23 02:04:39.876] ,26.4,47
[2021-12-23 02:04:41.907] ,26.3,47
[2021-12-23 02:04:43.940] ,26.4,47
[2021-12-23 02:04:45.967] ,26.4,47
[2021-12-23 02:04:47.998] ,26.4,47
[2021-12-23 02:04:50.015] ,26.3,47
[2021-12-23 02:04:52.049] ,26.4,47
[2021-12-23 02:04:54.081] ,26.4,47
[2021-12-23 02:04:56.104] ,26.3,47
[2021-12-23 02:04:58.136] ,26.3,47
[2021-12-23 02:05:00.158] ,26.3,47
[2021-12-23 02:05:02.190] ,26.3,47
[2021-12-23 02:05:04.212] ,26.3,47
[2021-12-23 02:05:06.246] ,26.3,47
[2021-12-23 02:05:08.268] ,26.3,47
[2021-12-23 02:05:10.299] ,26.3,47
[2021-12-23 02:05:12.323] ,26.3,47
[2021-12-23 02:05:14.355] ,26.4,47
[2021-12-23 02:05:16.388] ,26.3,47
[2021-12-23 02:05:18.413] ,26.3,47
[2021-12-23 02:05:20.444] ,26.3,47
[2021-12-23 02:05:22.466] ,26.3,47
[2021-12-23 02:05:24.500] ,26.3,48
[2021-12-23 02:05:26.527] ,26.3,48
